segment_id,start_node,end_node,given_length,road_type,speed,st_astext,startLat,startLon,endLat,endLon,dir,calc_length,distance_from_start
130,2189335621,4515097348,168.413807935025,trunk,61,"LINESTRING(32.6518725 39.8768158,32.6504092 39.8757995)",39.8768158,32.6518725,39.8757995,32.6504092,1,168.423964032283,18054.3337151167
131,4515097348,2189335607,127.438409643724,trunk,58,"LINESTRING(32.6504092 39.8757995,32.6493019 39.8750305)",39.8757995,32.6504092,39.8750305,32.6493019,1,127.446094743294,18222.757679149
132,2189335607,2189274611,106.432089381223,trunk,62,"LINESTRING(32.6493019 39.8750305,32.6483772 39.8743882)",39.8750305,32.6493019,39.8743882,32.6483772,1,106.438507706802,18350.2037738923
133,2189274611,2189335582,393.487852520888,trunk,65,"LINESTRING(32.6483772 39.8743882,32.6449589 39.8720133)",39.8743882,32.6483772,39.8720133,32.6449589,1,393.511581578199,18456.6422815991
134,2189335582,2189335580,70.2132597351857,trunk,45,"LINESTRING(32.6449589 39.8720133,32.6443484 39.87159)",39.8720133,32.6449589,39.87159,32.6443484,1,70.217493905195,18850.1538631773
135,2189335580,308857381,65.836754167472,trunk,48,"LINESTRING(32.6443484 39.87159,32.6437722 39.8711963)",39.87159,32.6443484,39.8711963,32.6437722,1,65.8407244148449,18920.3713570825
136,308857381,2189335578,6.03395788176511,trunk,47,"LINESTRING(32.6437722 39.8711963,32.6437172 39.8711622)",39.8711963,32.6437722,39.8711622,32.6437172,1,6.03432175610448,18986.2120814974
137,2189335578,5907074434,7.99956993259422,trunk,50,"LINESTRING(32.6437172 39.8711622,32.6436468 39.8711147)",39.8711622,32.6437172,39.8711147,32.6436468,1,8.00005234203118,18992.2464032535
138,5907074434,112227987,2.10346432616506,trunk,56,"LINESTRING(32.6436468 39.8711147,32.6436283 39.8711022)",39.8711147,32.6436468,39.8711022,32.6436283,1,2.10359117436437,19000.2464555955
139,112227987,164616832,77.8534313962494,trunk,60,"LINESTRING(32.6436283 39.8711022,32.6429304 39.8706513)",39.8711022,32.6436283,39.8706513,32.6429304,1,77.8581263023909,19002.3500467699
140,164616832,5038990085,4.99685178384553,trunk,49,"LINESTRING(32.6429304 39.8706513,32.6428874 39.8706208)",39.8706513,32.6429304,39.8706208,32.6428874,1,4.99715311610163,19080.2081730722
